Name,Workstream,What it is,Action URL,Cost (to organizer),Self-service level,How to submit a call,Effort/time,Audience/reach,Geography,Best for,Cadence fit,Notes/gotchas,utm_source (lowercase slug),Source URL & date verified
ArtConnect,Open-Call Listing,Professional art network where organizations POST open calls; you can direct artists to your own external submission URL.,https://www.artconnect.com/opportunities/new,"$99 per opportunity, or $20/mo unlimited (Premium)",Account required,Create an account → 'Post an Opportunity' → enter your call details and put your external submission URL prominently in the description/links ($99/post or $20/mo unlimited).,Low,Tens of thousands of professional artists worldwide ArtConnect,Global,"open call, exhibition, grant",always-on,"Verified org-perspective: you can list your own call and point artists to your external submission page in the description/links. Their 'Apply' button defaults to an internal flow, so make your external URL prominent. $99/post or $20/mo unlimited.",artconnect,https://www.artconnect.com/memberships/organizations (2026-06-12)
ArtShow.com,Open-Call Listing,Service that promotes juried art shows and competitions to a global artist audience via paid listings.,https://artshow.com/juriedshows/juriedform.aspx,"$45 (Basic, runs until deadline); +$20 image, +$45 featured, +$50 homepage blurb",Approval/review,"Open the juried-shows submission form → pick listing options (Basic $45) → enter contact info + call details, deadline, and your Website/Prospectus links → Continue to Payment → staff reviews and publishes.",Low,Global artist audience browsing ArtShow.com juried-shows,US / Global,"open call, exhibition",one-off post,No account needed. The form has dedicated Website + Prospectus fields so artists go to YOUR site. Listings are NOT instant (staff post manually) and can't be self-edited after submitting.,artshowcom,https://artshow.com/juriedshows/juriedform.aspx (2026-06-18)
Call for Entries (C4E),Open-Call Listing,Searchable directory of art/photo competitions and juried exhibitions; organizations buy listings to reach the public.,https://www.callforentries.com/compare.php,"Free tier = members-only (not public); Public: $69/30d or $130/60d (Standard), $169/30d (Featured)",Account required,"Go to the Compare/pricing page → pick a tier (Free / Standard / Featured) → 'Order Now' → create or log into an organization account → fill the form with call details, deadline and your external link → pay (for paid tiers) → publishes.",Low,C4E directory visitors (public listings) / logged-in members (free tier),US / Global,"open call, exhibition",one-off post,Gotcha: the FREE listing is visible only to logged-in C4E members — you need a PAID tier for public visibility. Listings can use an external 'Apply' link to your own submission system.,callforentries,https://www.callforentries.com/compare.php (2026-06-18)
Hyperallergic,Media/PR Amplifier,"Online arts publication featuring news, reviews, and a monthly opportunities roundup for artists and creatives.",https://hyperallergic.com/advertise/,confirm,Manual review/approval,,Low,1 million+ unique visitors per month (Hyperallergic),Global,open call | grant | press,recurring roundup,Does not offer a free self-service listing portal; opportunity features and classifieds are directed to the advertising department via a contact form or Nectar Ads. Editorial tips and announcements can be emailed to tips@hyperallergic.com.,hyperallergic,https://hyperallergic.com/advertise/ (2026-06-12)
New American Paintings,Media/PR Amplifier,"Juried showcase/periodical for emerging painters; potential PR/amplification partner, not a submission host.",https://newamericanpaintings.com/contact-us,confirm,Email/pitch required,,Low,"Approx. 5,000+ artist reviews annually with a global subscriber base (from site content/context)",US national,"press, open call",one-off post,"New American Paintings is primarily a self-contained juried competition; however, they list a specific contact for advertising inquiries (Liz Morlock) on their Contact page, which is the standard route for an organization looking to reach their audience or propose a collaboration. Direct 'post a call' self-service for external organizations is not found.",newamericanpaintings,https://newamericanpaintings.com/contact-us (2026-06-12)
NYFA Classifieds / Opportunities,Open-Call Listing,High-reach NYFA opportunity board where organizations POST open calls; listings link out to your own submission URL.,https://www.nyfa.org/sign-up/,$95 (2wk) / $175 (4wk) / $315 (8wk); nonprofit discount available,Account required,Sign up → create a paid classified listing ($95–$315 by duration; nonprofit discount on request) → enter call details + your external submission link.,Low,"11M+ annual page views, 716K+ arts candidates, and 42K+ newsletter subscribers (NYFA Create Listing)",US national,"open call, exhibition, grant, donor, press",one-off post,Verified org-perspective: posts link out to YOUR submission page — no lock-in. Small nonprofits (budget ≤ $600k) can request discounted pricing. Strong US/NY reach.,nyfaclassifiedsopportunities,https://www.nyfa.org/create-listing/ (2026-06-12)
Americans for the Arts,Partner Org/Council,National job and internship board for the arts sector.,https://jobbank.artsusa.org/employer-offers,"$265 (60-Day Basic Non-Member), $399 (60-Day Premium Non-Member), $25 (30-Day Internship)",Account required,Create an employer/org account on the ARTSU job bank → post your opportunity → link to your own submission page.,Medium,Arts professionals and organizations nationwide (estimate based on leading national arts advocacy role),US national,open call,one-off post,"Members get discounted rates ($155 Basic, $239 Premium). Requires account creation to post.",americansforthearts,https://jobbank.artsusa.org/employer-offers (2026-06-12)
Arts to Hearts Project,Media/PR Amplifier,A global media and publishing platform for women artists that curates and publishes open calls and opportunities. (Arts to Hearts Project),https://artstoheartsproject.com/contact/,confirm (Arts to Hearts Project),Email/pitch required (Arts to Hearts Project),,Medium (Arts to Hearts Project),"160,000+ women creatives worldwide (from homepage) (Arts to Hearts Project)",Global (Arts to Hearts Project),"open call, exhibition, press (Arts to Hearts Project)",recurring roundup (Arts to Hearts Project),Submissions for curated roundups are selected from a 'pool of submissions' and editorial research; organizers should contact via the contact page for partnerships or proposals (Arts to Hearts Project).,artstoheartsproject,https://artstoheartsproject.com/contact/ (2026-06-12)
Booooooom Studio,Media/PR Amplifier,"The partnership and advertising arm of Booooooom, handling inquiries from cultural institutions and brands looking to reach a large creative audience through sponsored content, awards, and ads. (Booooooom Studio)",https://studio.booooooom.com/,confirm,Email/pitch required,,Medium,"2M+ monthly visitors, global creative audience (Booooooom Studio)",Global (Booooooom Studio),"press, open call, exhibition",one-off post,Primary intake for institutions and brands; guaranteed placement or reach typically requires a paid partnership or advertising agreement. Individual artist submissions are handled via a separate member-only portal. (Booooooom Studio),booooooomstudio,https://studio.booooooom.com/ (2026-06-12)
Create! Magazine,Media/PR Amplifier,"Independent contemporary art magazine and platform that features artists, open calls, and interviews through print, digital, and social media. (Create! Magazine About)",https://www.createmagazine.co/contact,confirm,Email/pitch required,,Medium,"200,000+ global readers and followers (Create! Magazine)",Global,open call | exhibition | press,one-off post,No automated portal for outside organizers to post calls; requires manual partnership inquiry or pitching via email to alicia@createmagazine.com or info@createmagazine.com. (Create! Magazine Contact),createmagazine,https://www.createmagazine.co/contact (2026-06-12)
e-flux,Media/PR Amplifier,A leading international publishing and distribution platform for contemporary art announcements and press releases.,https://www.e-flux.com/contact,confirm,Email/pitch required,,Medium,"90,000+ art professionals globally (Nearby Café)",Global,"press, exhibition, open call, grant, education",one-off post,Rates are not publicly listed and require contacting the e-flux team for a quote; submissions are manually reviewed (e-flux About).,eflux,https://www.e-flux.com/about (2026-06-12)
eReleases CauseWire,Media/PR Amplifier,"A specialized press release distribution service for nonprofit organizations, providing access to the PR Newswire network and targeted journalist outreach at discounted rates.",https://www.ereleases.com/causewire/,$399 base (Buzz Builder) with 30% first-timer discount; qualify for specific nonprofit rates via form (eReleases).,Account required / Manual review/approval,,Medium,"1.7 million+ journalists and influencers, plus national PR Newswire distribution reaching 100+ news sites (eReleases).",US national,press,one-off post,Nonprofits must fill out a qualification form to access discounted rates. Every release undergoes manual editorial review. Pricing is per-release with no membership fees (eReleases).,ereleasescausewire,https://www.ereleases.com/causewire/ (2026-06-12)
GoFundMe Pro (formerly Classy),Fundraising/Grants/Donor,"An enterprise fundraising platform for nonprofits that provides tools for donation forms, peer-to-peer campaigns, event registration, and auctions, leveraging the reach of the GoFundMe donor community.",https://pro.gofundme.com/c/demo/,confirm,Manual review/approval,,Medium,~200 million donors (GoFundMe Pro),US national,donor,always-on,"Formerly Classy; now integrated with GoFundMe. Specifically serves US-based 501(c)(3) nonprofits. Pricing is custom and requires contacting their team for a demo and assisted onboarding. Nonprofits can also ""claim"" their existing GoFundMe page at gofundme.com/charity/claim/search.",gofundmepro,https://www.gofundme.com/charity/claim/search (2026-06-12)
GrantStation,Fundraising/Grants/Donor,"An online grant research platform providing access to searchable databases of private, federal, and international grantmakers, along with strategy tools and educational resources (GrantStation).",https://grantstation.com/checkout/account/98454/6?product_id=2769952,$199/yr or $299/2yrs,Account required,,Medium,"~20,000+ member organizations (est. based on YouTube), serving nonprofits in the US, Canada, and internationally.",Global,grant,always-on,Requires paid membership for full database access. Offers a free weekly newsletter (Insider). Discounts frequently available via TechSoup or seasonal promotions ($119-$150) (Grantsights).,grantstation,https://grantstation.com/product/grantstation-membership (2026-06-12)
LensCulture,Media/PR Amplifier,Global photography platform/magazine; promote your photo open call via their advertising/media options (not a submission host).,https://www.lensculture.com/advertising,confirm (request media kit for pricing),Email/pitch required,,Medium,"3M+ monthly reach across platforms, 700,000+ email subscribers, 1.1M Instagram followers (LensCulture Advertising).",Global,"open call, exhibition, grant, press",one-off post,Promotional/PR channel for photo audiences. Request media kit for pricing. Not a submission platform — use for amplification only.,lensculture,https://www.lensculture.com/advertising (2026-06-12)
Network for Good (Bonterra Nonprofit Hub),Fundraising/Grants/Donor,"A donor management and fundraising platform providing CRM tools, online donation pages, and grant-matching resources for nonprofits Bonterra, Network for Good",https://connect.bonterra.network/,"Starts at ~$200/month (billed annually) + 3%-4.75% transaction fees Zeffy, Merchant Alternatives",Account required,,Medium,"Small-to-mid nonprofits; platform serves over 1,300+ organizations Zeffy",US national,"donor, grant",always-on,"Now part of Bonterra; core fundraising software requires a paid subscription and often a demo, though a free 'Nonprofit Hub' profile is available for basic donor data and grant matching Bonterra, Zeffy",networkforgood,https://www.zeffy.com/blog/network-for-good-reviews (2026-06-12)
Pinterest Ads,Paid-Ads Channel,"Visual advertising platform for promoting pins to reach targeted audiences for brand awareness, traffic, and conversions.",https://ads.pinterest.com/,"$0.00–$0.10 per click, $0.00–$2.00 per conversion, or $0.00–$1.50 per 1,000 impressions. (WebFX, 2026)",Account required,,Medium,"631 million monthly active users globally, with approximately 106 million in the US and Canada as of Q1 2026. (Pinterest Q1 2026 Results)",Global,open call | exhibition | donor | press,always-on,"Requires a free Pinterest Business account. Nonprofits can select 'Institution/Nonprofit' during business profile setup. (Charity Digital, Pinterest Help Center)",pinterestads,"https://ads.pinterest.com/, https://business.pinterest.com/, https://www.socialmediatoday.com/news/pinterest-posts-solid-growth-for-the-first-quarter-of-2026/819391/ (2026-06-12)"
Res Artis,Partner Org/Council,A worldwide network of arts residencies that provides a platform for organizations to list residency programs and post unlimited open calls for artists.,https://resartis.org/join-res-artis-or-update-your-profile/,membership €69 - €700/yr (tiered by organization budget) Res Artis Pricing,Manual review/approval,"Join/update your member profile, then submit your residency/open-call opportunity for manual review and listing.",Medium,"3,918,039 annual website visitors, 25,000+ newsletter subscribers, and 125,000+ Facebook followers (global artist community) Res Artis Advertising",Global,open call,always-on,Res Artis is a vetted network; organizations must submit a detailed application including budget files and images to be approved for membership and listing Res Artis Join Form,resartis,https://resartis.org/join-res-artis-or-update-your-profile/ (2026-06-12)
This Is Colossal,Media/PR Amplifier,An international platform and digital magazine for contemporary art and visual expression (Colossal).,https://www.thisiscolossal.com/submissions/,confirm,Email/pitch required,,Medium,"1M+ monthly visitors, 200k+ newsletter subscribers, 2.5M+ pageviews (Nectar Ads)",Global,"open call, grant, press, exhibition",recurring roundup,"Submissions for the monthly ""Colossal Opportunities"" roundup should be sent to [email protected]; general editorial tips go to [email protected] High volume means they cannot respond to all inquiries (Colossal Submissions).",thisiscolossal,https://www.thisiscolossal.com/submissions/ (2026-06-12)
Meta Ads Manager,Paid-Ads Channel,"A comprehensive tool for creating, managing, and tracking advertisements across Meta's platforms (Facebook, Instagram, Messenger).",https://adsmanager.facebook.com/adsmanager/manage/campaigns,$0.20-$0.80 CPC / $2-$8 CPM for nonprofits (Vispaico),Account required,,High,"Over 3 billion monthly active users globally across Facebook, Instagram, Messenger, and WhatsApp (Meta). For nonprofits, typical CPC is $0.20-$0.80 and CPM is $2-$8 (Vispaico).",Global,"donor, grant, press, open call, exhibition",always-on,Requires a Facebook personal account and a Meta Business Suite account. High learning curve. Nonprofit subsidized rates may apply via specialized programs like Meta for Nonprofits (Benly).,metaadsmanager,https://www.vispaico.com/de/meta-ads-faq/how-much-do-meta-ads-cost-2 (2026-06-12)
